Author,Title,Description,Genre,Banned
SocialMediaUser,UserComment,verified review | well where do you start. this is a business seat on a supposedly premium brand. the ticket price was in excess of . the lounges at lhr t need work. yes british airways are investing but long overdue. the small lounge for b gates needs to be re-thought and offer better food options. to the aircraft - its been refitted apparently	 but should be scrapped. the seats remain tired. the vanity screen was not working properly. the entertainment system is past its best	 with smudges and scratches. the carpets look like they need a very good clean and are grubby indeed. the toilets are old. overall	 the aircraft is well past what could be described as a premium. regarding the crew - they have been bashed and are a shadow of their former selves. sad but true. too many apologies for the rubbish decisions of management. on this trip the galley kitchen was poorly stocked and many of the usual items were missing e.g. waitrose fruit and yogurts. they have also stopped the ice-cream. food served was not good - saving grace was the meat platter	 but what could you do to spoil sliced meats and cheese. blankets are faded and ragged. the toilet bags are a joke. cheap and nasty. this route was the jewel in the airline crown and one that has slide down the priority ladder. ba need to invest in a new fleet. re-energise the crew. change the catering and get a few more choices. upgrade the seating and change seating configuration to avoid being an olympic pole vaulter.,Misc,
SocialMediaUser,UserComment,trip verified | flight at .am from dub to lcy cancelled pm night before. no text message. no phone. waiting at bus stop and randomly checked email to see alternate flight option. hang on? whats this! it was dark at am. it was hard to see mobile phone screen. im still jet lagged. only option was to lhr at .am. tried calling. no one there. so accepted it. but i didnt see the day change! it was the next day! i didnt want the flight (as was staying at docklands hence choosing lcy but thought i better take it as its leaving an hour after the original flight. nope. i better call to say hey sorry i screwed up. your flight is not going to work for me. i dont have any more accommodation in dublin and i dont want to waste one night in london. called. the most surly customer service (can you even be called that when you treat people like this) answered. she kept calling me james (not my name). she was brutal. you accepted it. i cant do anything. she basically made me feel like a moron because in a moment of confusion i accepted the first available flight from the stupid supercomputer. she kept telling me about the algorithm and this was the flight that was chosen. but if you had called us we could have put you onto a aer lingus flight! why didnt you call? you are at fault. just so callous and uncaring. she wanted to charge me  pounds in new flights and change fees. i said nope and booked a flight today with ryanair. plus i need to find my way from gatwick to docklands. more money from me because of bas utter contempt for their passengers. ive been flying qantas for  years and they can do some funky stuff. but never this level of cruelty because of one simple error. never again. how do people accept such utter contempt and ineptitude? welcome to the u.k.! just wow.,Misc,
SocialMediaUser,UserComment,but do you condemn khamas!!,Misc,
SocialMediaUser,UserComment,piers morgan:  is it true you said this? blah blah blah,Misc,
SocialMediaUser,UserComment,culture or following he runs?,Misc,
SocialMediaUser,UserComment,piers lost again... andrew is  levels above this man... andrew is helping his platform to much..,Misc,
SocialMediaUser,UserComment,piers is making the most out of the israel palestinian issue. look at to the part 	 a separate vedio	 to make more and more views and money. he doesnt care about issue.,Misc,
SocialMediaUser,UserComment,not verified | i booked my flights to the uk in may  and had to cancel our trip to the uk on march 	//	  and because i am older and have pre-existing health conditions	 my doctor asked me to postpone our trip. the british airways customer care associates i talked with were great and caring and they were able to issue us travel credit for tickets that were non-refundable. now the problem is	 i need to rebook and use the travel credit by may  for travel to the uk by may  or lose all the credit from our trip. how can i make travel arrangements by may  with the coronavirus out of control throughout the world and travel bans in place? i understand ba has policies in place	 but i cannot understand how you can expect someone to make travel arrangements while the world is dealing with covid-. i feel this timeline is unfair to any consumer who has trust with their preferred airline	 my preferred airline is still british airways. british airways needs to reevaluate their policies during a world crisis....and make adjustments as needed to be fair to consumers who trust them. whether a consumer has purchased refundable or non-refundable tickets should not matter	 because forcing a consumer to rebook while a world pandemic is happening and not adjusting your policies to the situation can change your loyal customers	 remember	 there are many other airlines out there to choose from. the coronavirus is something that no one has any control of. i guess the bottom line is i think british airways needs to put some common sense to their policy. i want to rebook and travel	 but i am hesitant to this at this time. hopefully	//,Misc,
SocialMediaUser,UserComment,italy the second best healthcare in the world,Misc,
SocialMediaUser,UserComment,how to play dumb n stupid? be like morgan piers,Misc,
SocialMediaUser,UserComment,i think the real question is this,Misc,
SocialMediaUser,UserComment,piers knows exactly what points tate is making. hes knows exactly how easy it is for msm(matrix) to turn on him in an instant if he crosses over the invisible line,Misc,
SocialMediaUser,UserComment,absolutely true  my g for said true always that why i like u bro top g kudos,Misc,
SocialMediaUser,UserComment,piers trying so hard for that gotcha quote,Misc,
SocialMediaUser,UserComment,for you people who make the people whi are unvaccinated look bad	 hows the random heart attacks also i thought you were safe from it yet you still get it	 the story is bs cause its changed from it prevents covid	 then theres only break through cases then safe and affective but now its	 itll only decrease how badly you get covid which still isnt true because they have more symptoms than unvaccinated people	 also they tested it on mouse or rats	 one of them	 also they all died	 interesting testing,Misc,
SocialMediaUser,UserComment,its so funny because he can say things that make total sense yet...he cant even admit to crying...  before i knew who he really was i listened to a lot of his content... on on of the podcasts i listened to he bragged about tricking women into being on live camera...,Misc,
SocialMediaUser,UserComment,agree about the festival tweet.  its degenerate and also hating concerts is so truee,Misc,
SocialMediaUser,UserComment,i love andrews passion	 he speaks the truth which is why they want to shut him down.  as for piers	 he is controlled by the main stream media and his agenda comes from the people in power	 he will tell you black is white if that is what he is told to do.,Misc,
SocialMediaUser,UserComment,the response to covid is what caused millions of deaths	 created massive rise in substance abuse changed the children of the lockdown for life bankrupted businesses and individuals there are homeless people everywhere crime has risen freedom of speech is over it has been one big massive social disaster that the world is going to feel for years to come,Misc,
SocialMediaUser,UserComment,i am just laughing here reading comments where too many people act like smarter than andrew tate.,Misc,
SocialMediaUser,UserComment,: andrew tates financial situation after coming out of prison,Misc,
SocialMediaUser,UserComment,its actually impressive that piers makes tate look like a reasonable person.,Misc,
SocialMediaUser,UserComment,days ago .million views,Misc,
SocialMediaUser,UserComment,i am a woman and i am a doctor but u still agree with andrew. i would work in a relaxed way just to make myself happy. but i would also love to be with my husband and my children more and build my family. and have a good life with my husband!,Misc,
SocialMediaUser,UserComment,verified review | gatwick to faro. pretty good flight all round	 and as ticket was bought in sale with car hire as well	 it worked out good value. check in area at south terminal is very nice and i was checked in very quickly	 with fast track security equally quick. the new ba lounge is really well decorated and laid out with lots of nice and varied seating	 interesting light fixtures and good views of the tarmac. it was early morning and breakfast was served	 which was reasonably good. although the hot options were just bacon roll	 omelette roll or porridge which felt quite limited. staff were all excellent. boarding was quick	 cabin crew friendly although no pre flight drink at all offered. this was an older aircraft with the old style seating	 but the aircraft was clean and didnt show much sign of age. the seats are comfortable enough	 although legroom is not amazing. i was lucky enough to be in the front row so had more than most. the cooked breakfast was actually fairly good i think	 nothing world shattering but decently cooked and fairly good quality ingredients. disembarkation was quick enough	 although bags took quite a while. priority baggage didnt seem to count for a lot	 and annoyingly my priority bag tag had come off and ended up being one of the last bags. overall a good flight.,Misc,
SocialMediaUser,UserComment,is piers stupid with these questions or is he really that proffesional to ask stupid questions that he knows are stupid but acts like hes serious? genuine question. becouse those questions are stupid bruh. if it is an act however	 great job sir,Misc,
SocialMediaUser,UserComment,[::] andrew tate made millions of pounds from helping women with the tax side	 technical side	 and promotion of their profiles on certain websites.,Misc,
SocialMediaUser,UserComment,hes a liar and manipulator	 and keeps up this top g persona because thats what makes him relevant and infamous.,Misc,
SocialMediaUser,UserComment,ohh so beautiful andrew,Misc,
SocialMediaUser,UserComment,) gaza is a concentration camp not a prison.,Misc,
SocialMediaUser,UserComment,i am the women pier said are laughing at tate. he sounds so delusional.,Misc,
SocialMediaUser,UserComment,piers...google the western australian vaccine surveillance report . its an eye opener for sure! at least get educated from real data...rather than pharma run studies,Misc,
SocialMediaUser,UserComment,andrew tate he lost it i was sure that the man is more calculated and speaks from facts and analyses only not anymore 	 just another lying muslim as far as im concerned,Misc,
SocialMediaUser,UserComment,thank you brother andrew,Misc,
SocialMediaUser,UserComment,logical point from andrew :. bunch of liars,Misc,
SocialMediaUser,UserComment,i know many people in there s s no vaccine and never died from covid.... piers friends probably signed up to be a test rat and they died.,Misc,
SocialMediaUser,UserComment,dont know why when andrew talks he gives me a headache! feel for people who have to listen to him all day long..,Misc,
SocialMediaUser,UserComment,its kind of hilarious that piers knows that the indictment says tiktok and onlyfans but is somehow scared in this uncensored interview to even say the platforms name and gets shutdown by tate everytime because he knows piers doesnt actually want to say the name onlyfans and that he is technically correct to not use the webcam terminology because onlyfans isnt a webcam site.,Misc,
SocialMediaUser,UserComment,ben shapiro is a war monger	 he   was for the war in iraq.,Misc,
SocialMediaUser,UserComment,churchill defeated the nazis.....  that s rather rich	 we know that % of german army was obliterated by the soviet union....,Misc,
SocialMediaUser,UserComment,i could watch these two weekly,Misc,
SocialMediaUser,UserComment,i am pretty sure this guy who is running the show is getting paid by israel or someone else for each yes answer he get.if they pay me well ill get yes answer frome everyone,Misc,
SocialMediaUser,UserComment,for once i agree with andrew tate,Misc,
SocialMediaUser,UserComment,the moment they construct their answers in a matter of seconds. how brain works like a computer .,Misc,
SocialMediaUser,UserComment,only a real man can speak without fear  tate,Misc,
SocialMediaUser,UserComment,piers : this is the purest definition of a misogynist i ever read ! :,Misc,
SocialMediaUser,UserComment,tate: i want peace on both sides,Misc,
SocialMediaUser,UserComment,trolling or not hes a knob and some lads actually like him welcome to  let me off please,Misc,
SocialMediaUser,UserComment,there are still many people who are closed to the truth even though what israel is doing is just fighting innocent civilians	 the world is almost at the end of the world and look islam will definitely lead the truth itself. freepalestine,Misc,
SocialMediaUser,UserComment,both piers and tate represent different perspectives of persona and their impact on social behaviour as being the aspects of human nature and its contribution to societal norms . both being the byproduct of internet thing yet really represents two edges of blade.,Misc,
SocialMediaUser,UserComment,used to dislike piers morgan.,Misc,
SocialMediaUser,UserComment,from the river to the sea palestine will be free,Misc,
SocialMediaUser,UserComment,loved it! this was a great interview,Misc,
SocialMediaUser,UserComment,how did the lockdowns worked in china piers should not talk anything about covid. omg still he hasn`t understood it.,Misc,
SocialMediaUser,UserComment,the western authoritys just did not believe it and corona came in handy to them to misuse this so called pandemic.,Misc,
SocialMediaUser,UserComment,something seems a little off about this interview. does anyone else think that piers is much less open to understand andrew than his previous interviews? not saying he had an agenda	 but hes trying pretty hard not to understand andrew and to paint a complex situation as black/white.,Misc,
SocialMediaUser,UserComment,piers be on andrew head,Misc,
SocialMediaUser,UserComment,top g needs some help to regulate his nervous system. hed be far more powerful in his speech if he could do it in a calm state. its hard when youre angry. he has a right to be angry. hes right and the bs that piers is lobbing at him is infuriating... a man that is as efficient in combat needs to be able to remain calm with his words. appreciate top g and what he is standing for.... i hope he can continue to hone is craft so his message reaches more ears by being more regulated in his actions and his speech. cheers.,Misc,
SocialMediaUser,UserComment,alhamdorlilla andrew 	 thank you for speaking the truth and seeing the perspective of the  horrendous injustices against  palestinians and not being bullied by a manipulative & misguided pearce 	 typical negative dishonourable western journalist who support the vile disgust bully  illegal isreal,Misc,
SocialMediaUser,UserComment,check-in process in zurich easy and efficient. the flight was on time with friendly and attentive crew. food for breakfast was okay although not enough if you were hungry. seat comfortable although was not impressed to find used refreshing towel of previous passenger in seat pocket. arrival at t: business as usual or even worse - arrived at t-b	 take a train to t and walk and walk until you exit terminal.,Misc,
SocialMediaUser,UserComment,damn u andrew	 what a cute smile u have !,Misc,
SocialMediaUser,UserComment,andrew tate is too damn funny,Misc,
SocialMediaUser,UserComment,free free pierce morgan from his bosses,Misc,
SocialMediaUser,UserComment,flew return in cw from lhr to bkk in august . the positives of both flights were: they were on time seats were comfortable and lounges were good. the negatives were: very poor food selections on board (over cooked and uninspiring) very mixed crews - depending on what side of the aircraft you sat you got a totally different in-flight experience - some of the cabin crew should get new jobs as passengers are a severe inconvenience to them and the ife was unreliable - on both flights the ife had to be re-set at least once. overall the flights were fine and i will use ba again if the price is right.,Misc,
SocialMediaUser,UserComment,anyone notice he said his children ?,Misc,
SocialMediaUser,UserComment,before death reaches us	 it is necessary that we pardon all our enemies	 thereby eradicating,Misc,
SocialMediaUser,UserComment,for what its worth	 he aint no dumbo	 thats obvious.,Misc,
SocialMediaUser,UserComment,piers is somewhat right	 the idea of a household which andrew holds is very childish	 even in the traditional household women can take minority of decisions while the men take the majority of decisions (mostly and can vary). piers owned tate in this interview as he was the one with a more open body language while andrew was closed	 piers with clearly logical arguments and andrew pursuing them as attacks. btw the loverboy method got fliped on piers was hillarious,Misc,
SocialMediaUser,UserComment,ashley babbitt died	 your right!!! she died illegally by the hands of a guilty cop,Misc,
SocialMediaUser,UserComment,piers jordan and ben all got their asses handed to them well done,Misc,
SocialMediaUser,UserComment,piers is so full of bs,Misc,
SocialMediaUser,UserComment,verified review | british airways use a version of the  with a minimal number of economy seats on this route from london heathrow to johannesburg. every seat on both outward and return flights was occupied. they make a bigger profit by having more seats in business class etc and so squeeze the economy class people into a confined area. seats are narrow	 seat cushions are hard	 and i had a large person next to me both trips. i paid for an aisle seat in each case but comfort is impossible. food was passable and no more	 but there were two meals on the long flight. cabin crew were surprisingly young and seem to be in training - polite and efficient but they had obeyed the instruction to disappear for most of both flights. both flights on time. these ancient s are showing their age even though both of these had been revamped they looked tired but clean. the alternative aircraft used on this route is and airbus  but a fellow passenger said that the seats were even tighter on that aircraft. it is tiie that ba started to compete and not be so complacent.,Misc,
SocialMediaUser,UserComment,i work remotely just to be at home to take care of my house and kids. damn right if my husband was rich	 i would not work at all. i love love love taking care of my home	 exercising	 and shopping. piers is dead wrong about that.,Misc,
SocialMediaUser,UserComment,tate: i feel lover boyed,Misc,
SocialMediaUser,UserComment,i dont usually agree with tate but were on the same side on this.  pierce sounds like old propaganda that doesnt hold up in the face of contemporary common sense,Misc,
SocialMediaUser,UserComment,why wear sunglasses .......he high???,Misc,
SocialMediaUser,UserComment,the moment piers just called his bullshit about prison fighting... what didbyou say to them you dint speak romainian and then andrew proceeds to just chat utter bollocks,Misc,
SocialMediaUser,UserComment,imr tates vibe hes like am a beast hes a man that knows how to annihilate anyone who comes his way  he should be crowned king beast,Misc,
SocialMediaUser,UserComment,andrew and piers are like a toxic couple they dont go together but they also do peirs trys so hard not to pove andrew because of the image but deep down he respects him and loves him,Misc,
SocialMediaUser,UserComment,piers is a showman	not a real person to admit the process which is going on palestine,Misc,
SocialMediaUser,UserComment,//	  other died on that day due to natural causes and  other died due to an od. any subsequent were days	 sometimes weeks later which they attempt to pin on them. its shocking this level of journalistic integrity.,Misc,
SocialMediaUser,UserComment,why he is wearing sunglasses	 not a real man	 hiding behind shades.,Misc,
SocialMediaUser,UserComment,i pay his car insurance i got you,Misc,
SocialMediaUser,UserComment,ive never seen tate this angry,Misc,
SocialMediaUser,UserComment,me : i dont know sir	 but piers is a hypocrite.,Misc,
SocialMediaUser,UserComment,this is andrews worst interview for sure.,Misc,
SocialMediaUser,UserComment,israels war on babies and incubators will be remembered as the cruelest action by any civilization in history even worse than holocaust,Misc,
SocialMediaUser,UserComment,piers betraying his lack of knowledge of january th.,Misc,
SocialMediaUser,UserComment,were the babies vaccinated,Misc,
SocialMediaUser,UserComment,ba krk-lhr  may - a new sector launched just early this month and my first time flying ba. i was pleasantly surprised (for my friend) that he was able to check-in his big carry-on for free while i paid for check-in luggage. i understood why in the end. my biggest gripe has to be that the sunday flight departs and arrives late into lhr. this was worsened by the fact that it was a full flight but the overhead bins were already full before all were on board hence there was a  minute delay on the tarmac as remaining hand-carry luggage had to be put in the hold. unfortunately flight did not manage to catch up while in the air hence we landed  minutes late cutting it close to the curfew time for lhr. we had to run all the way through and almost missed the last heathrow express train. i will never fly a late flight into lhr again. that said the pilot and cabin crew were entertaining - quite chatty over the pa and with some passengers though not necessarily friendly to all customers. . hours on an a passed by without any in-flight entertainment (to be expected for regional flights) and with some food and refreshments (which were good).,Misc,
SocialMediaUser,UserComment,piers is the definition of a hypocrite. he acknowledged the fact that what israel id doing to gazans is wrong as if hes showing some kind of sympathy towards gaza in his defence	//,Misc,
SocialMediaUser,UserComment,at topic islam	 morgan ended the conversation. is he anxious	 that he could embrace islam ?,Misc,
SocialMediaUser,UserComment,pierce is so annoying	 asking questions and cutting him off within seconds of him answering.,Misc,
SocialMediaUser,UserComment,if you watch this video from a neutral stance you will see alot of flaws from andrew tate side	 i agree with andrew that man should be strong	 being a boxer myself but on other things i wouldnt agree with him...,Misc,
SocialMediaUser,UserComment,who is piers or anyone to judge him on how he wants to run his house or family? same as you or i	 we can run our families how we and our partners agree to. one thing here is how piers focus on the word jobs he makes it sound like andrew orders his partner to do things.i doubt that is the case.  in any house there are agreed upon duties for each person to contribute to and for the success of the house and family. the word job is out of context here. but thats a reporter twisting it all around as usual	 id like someone to take a run at piers family structure i bet hes not living in a perfect system either.,Misc,
SocialMediaUser,UserComment,on another point	 netanyarou is on the record as saying that he wants all palestinians out of palestine. is that not genocide?,Misc,
SocialMediaUser,UserComment,:piers u are arguing with wrong man,Misc,
SocialMediaUser,UserComment,andrew tate is honeslty a brilliant man. people dont like hearing facts,Misc,
SocialMediaUser,UserComment,andrew tate likes the dominance of islam until israel dominates hamas then he doesnt like to be dominated.,Misc,
SocialMediaUser,UserComment,piers is saying	 the world must accept that hamas knew what the response will be like if they attack israel but israel never knew that one day palestinians will respond to the inhuman oppressions israel brought upon them for decades	 does that make sense? only one side expected to react but the other side not?,Misc,
SocialMediaUser,UserComment,how much israel pay you piers morgan,Misc,
SocialMediaUser,UserComment,common tate w. piers is a nazi	 no disrespect to nazis,Misc,
SocialMediaUser,UserComment,i can go on and on about tate.  what a lost soul who made a deal with the devil.  i hope he truly turn to god and repent before he meets god.  he is still in denial and projection.,Misc,
SocialMediaUser,UserComment,ba lhr-ncl. ... i arrived on time at lhr from brazil using a different carrier. journey thus far was enjoyable and on time. i know that that shortest final hop up to the north east is usually the most problematic and unpleasant so i arrived fully expecting to land at newcastle and get home late. however yesterday morning i was wrong my flight wasnt running late it was cancelled! i had a particularly revolting encounter with one of their professionals in t. my courtesy and understanding towards the inept individual who was there to assist delayed passengers was rewarded with the cheap nasty passive aggressive and generally dismissive attitude which is offered so frequently by ba these days. no apology or empathy just waffle and rubbish. its just simply not good enough and a terrible reflection of what our flag carrier has become. to cut a long story short i arrived at ncl seven hours late. and no surprises my luggage was left behind at t. but then again ba only had seven hours to transfer it onto my flight. well done ba! simply the worst customer service that i have ever experienced anywhere!,Misc,
SocialMediaUser,UserComment,audio needs to be higher,Misc,
SocialMediaUser,UserComment,piers is literally blaming hamas for the thousands of palestinians that are dying at the hands of israel,Misc,
SocialMediaUser,UserComment,sounds like  ais on expert level battling,Misc,
SocialMediaUser,UserComment,: you lover boy me. well im sorry. lol,Misc,
SocialMediaUser,UserComment,salute to you mr.tate,Misc,
SocialMediaUser,UserComment,in the whole interview i think piers is just trying to defend israiel,Misc,
SocialMediaUser,UserComment,man.. i enjoyed tate.. but piers had him backed into a corner in a lot of this and made him seem like a delusional psycho with a tin foil hat telling all of us how intelligent he is. i hope this is still the character and not his downfall,Misc,
SocialMediaUser,UserComment,what are we told from a very young age? always stand up to bullies!!,Misc,
SocialMediaUser,UserComment,this is why we need christ. that the holy spirit might strengthen us and his fruit become prevalent in our lives. moreover	 one of those fruits	 being peace. unfortunately	 the bible did say that this will happen and that not all people will accept christ and that the world would be plunged into chaos.,Misc,
SocialMediaUser,UserComment,no	 piers	 wrong	 were not laughing	 were applauding. no job equals home stability. a happy wife=a happy husband =happy children. the best families i know - stay at home or part time working wives.,Misc,
SocialMediaUser,UserComment,i wish god would bless andrew with more power that he needs to fight these manipulators...hes such an very strong individual,Misc,
SocialMediaUser,UserComment,it means youre being playful about a taboo topic sometimes,Misc,
SocialMediaUser,UserComment,it would be so ironic if after half the world condemning hamass actions we would find out that it wasnt even hamas but a false flag.,Misc,
SocialMediaUser,UserComment,i dont think piers knows what genocide means,Misc,
SocialMediaUser,UserComment,andrew tate is a real man.  he is not scared of spreaking for truth,Misc,
SocialMediaUser,UserComment,i am vietnamese	 and i didnt know much about hamas and israel before the incident. now	 having read about their history and seeing israels recent actions	 i must say that i sympathize with the palestinians. they have been oppressed for decades with no human rights. what israel is doing now can be seen as ethnic cleansing	 without a doubt.,Misc,
SocialMediaUser,UserComment,i agree with sonia poultons view on you  piers establishment morgan.,Misc,
SocialMediaUser,UserComment,andrew tate summed up ben shapiro and by extension jewish neocons in the us government in a precise and accurate way. respect. now i know why the media hates this guy.,Misc,
SocialMediaUser,UserComment,andrew is absolutely correct about the vax. canada was literally paying people and put their names in a lotto for $m! they did not allow unjabbed to leave canada for  years! you would lose your job if you didnt get it.. piers how is that not forcing people to get it? bodily autonomy is a right and everyone should have the choice to take meds or not full stop!,Misc,
SocialMediaUser,UserComment,is piers ask him what he thinks or telling him what he thinks? its exhausting,Misc,
SocialMediaUser,UserComment,why dont the innocents go shelter ion the gaza metro,Misc,
SocialMediaUser,UserComment,i used to love your interviews but now im see a different you,Misc,
SocialMediaUser,UserComment,piers couldnt answer the same question he asked andrew. what a tool hahah,Misc,
SocialMediaUser,UserComment,piers has a clear agenda and its incredibly dishonest.  he is part of the matrix.,Misc,
SocialMediaUser,UserComment,wow  - i never had so much respect for this man!!!! amazing in speaking truth and standing up for palestine !!,Misc,
SocialMediaUser,UserComment,morgan is so nice girl,Misc,
SocialMediaUser,UserComment,piers	 you surprise me on how slow you are,Misc,
SocialMediaUser,UserComment,flew british airways from london gatwick to salzburg. agent at baggage drop was rude and off hand	 she tried to take my well under maximum sized cabin bag for free check-in as hold luggage. even when i explained that it contained valuable items and medication	 she still persisted. boarding was efficiently managed	 a pleasant change from the free for all i experienced on my last ba flight. the cabin crew made no attempt to greet passengers	 or help with stowing luggage. the snack included in the ticket price consisted of a muesli which resembled yoghurt with a few oats stirred in	 a stale	 a unbuttered bread roll containing a slice of plastic cheese and a very small plastic cup of tea. service was lacking in finesse. the one plus was landing twenty minutes early.,Misc,
SocialMediaUser,UserComment,morgan is just mad he was lied to and cant admit he was fooled.  why?  then he admits he wont get another booster.  lol,Misc,
SocialMediaUser,UserComment,piers	 you are what the french call  un faux cul  ! google it !,Misc,
SocialMediaUser,UserComment,you try to say that you will not judge but at the end you pretty much found him guilty,Misc,
SocialMediaUser,UserComment,do you condemn what hamas did on the ocotber of th?!,Misc,
SocialMediaUser,UserComment,i lost respect for  andrew  how can you defend mohammed for having a  year old wife?,Misc,
SocialMediaUser,UserComment,just look at the benjamin mendy case	 lost  years of his career because of lies from girls.,Misc,
SocialMediaUser,UserComment,piers is such a snake lol,Misc,
SocialMediaUser,UserComment,u r not making an mgm trailer,Misc,
SocialMediaUser,UserComment,piers i wonder (like when bassem told u about how in nakba	 isrealis would bet on the gender of the pregnant ladies child 	 whom they were going to butcher.,Misc,
SocialMediaUser,UserComment,brave soul andrew! sick piers,Misc,
SocialMediaUser,UserComment,yes tate!! you are the man. coming from a real woman	 nothing on that post that piers read sounded malicious or offensive. ask a woman who has been with a man that is the complete opposite of everything you offer to your lady. and i know for a fact they are not happy. i know happiness is a choice	 and true happiness comes from tapping in and self awareness. but i wholeheartedly agree with your perspective. on everything! bravo warrior!   poor souls with eyes that can not see. the matrix is doing what it was designed to do	 keep the masses from critical thinking and being an individual all on their own. if you ever need a podcast guest	 sign me up!!,Misc,
SocialMediaUser,UserComment,andrew tate is a great example of a man!,Misc,
SocialMediaUser,UserComment,gaza has been governed by the palestinian political faction hamas since 	 after a violent conflict with rival palestinian group fatah. despite this	 israel maintains control over gazas borders	 airspace	 and territorial waters	 imposing a blockade on the region.,Misc,
SocialMediaUser,UserComment,jealous much?  i wish more men thought like andrew... from (gosh gasp shock and horror) a woman,Misc,
SocialMediaUser,UserComment,london heathrow to cape town with british airways. paid extra to book  particular seats. both were broken. i had to sit upright for +hours and my husband had to sit partially reclined to eat his meals. i had veggie meal which was served half hour before everyone else - no drink until everyone else served. choice of meal for husband was chicken curry or chicken curry. he doesnt like curry so it was whispered to him that he could have a veggie meal. same at breakfast - served half hour early so had to eat alone. when other breakfasts came out	 guess what no meat. on complaining to ba customer services	 told could choose another meal if we had gone on line and paid extra. been offered the insulting and derisory compensation of  off our next flight (as if there will be a next flight) - not even offered a refund of payment we made for booking broken seat. both airline and customer service disgraceful.,Misc,
SocialMediaUser,UserComment,what a lame ass loser	 tate gonna rot in prison.,Misc,
SocialMediaUser,UserComment,it was the idf apache helicooterr that did the massive shooting.towards the israeli civilians . n even biden said he never see any proif on the  babies that were beheaded. piers was paid to disgrace himself with too many lies & ignored the whole world disgust towards himself,Misc,
SocialMediaUser,UserComment,possible to make a friend in the next world,Misc,
SocialMediaUser,UserComment,never knew was such misogynistic chauvinistic islamist pig,Misc,
SocialMediaUser,UserComment,piers always finds a way to inadvertently make andrew and his viewpoints come across fantastic. just w after after w,Misc,
SocialMediaUser,UserComment,piers  dont interrupt this	 its only two sentences   got me!!!!,Misc,
SocialMediaUser,UserComment,morgan sounds like that one kid that gets to hear his mum getting her back blown out by different guy each night. keep telling yourself its not your mummzy its the television. whatever helps you fall asleep each night,Misc,
SocialMediaUser,UserComment,i was in the military and we had no choice but to get the vaccine,Misc,
SocialMediaUser,UserComment,its a brave man that can go into the lions den	 and do battle with the matrix and their mouthpieces.,Misc,
